기준년월,기초지자체,중분류,소비액(천원)
20220101,천안시 동남구,관광총소비,371498
20220102,천안시 동남구,관광총소비,551647
20220103,천안시 동남구,관광총소비,284499
20220104,천안시 동남구,관광총소비,288444
20220105,천안시 동남구,관광총소비,293020
20220106,천안시 동남구,관광총소비,323991
20220107,천안시 동남구,관광총소비,369847
20220108,천안시 동남구,관광총소비,611338
20220109,천안시 동남구,관광총소비,453030
20220110,천안시 동남구,관광총소비,314255
20220111,천안시 동남구,관광총소비,312700
20220112,천안시 동남구,관광총소비,335189
20220113,천안시 동남구,관광총소비,307354
20220114,천안시 동남구,관광총소비,380525
20220115,천안시 동남구,관광총소비,625690
20220116,천안시 동남구,관광총소비,563261
20220117,천안시 동남구,관광총소비,253463
20220118,천안시 동남구,관광총소비,302107
20220119,천안시 동남구,관광총소비,297116
20220120,천안시 동남구,관광총소비,314684
20220121,천안시 동남구,관광총소비,393792
20220122,천안시 동남구,관광총소비,613626
20220123,천안시 동남구,관광총소비,489274
20220124,천안시 동남구,관광총소비,330829
20220125,천안시 동남구,관광총소비,333811
20220126,천안시 동남구,관광총소비,324602
20220127,천안시 동남구,관광총소비,361488
20220128,천안시 동남구,관광총소비,431228
20220129,천안시 동남구,관광총소비,618720
20220130,천안시 동남구,관광총소비,533981
20220131,천안시 동남구,관광총소비,332985
20220101,천안시 동남구,캠핑장/펜션,132
20220101,천안시 동남구,기타숙박,6186
20220101,천안시 동남구,관광기념품,444
20220101,천안시 동남구,레저용품쇼핑,16147
20220101,천안시 동남구,대형쇼핑몰,72506
20220101,천안시 동남구,관광유원시설,1080
20220101,천안시 동남구,골프장,12002
20220101,천안시 동남구,기타레저,1894
20220101,천안시 동남구,문화서비스,2452
20220101,천안시 동남구,식음료,252266
20220102,천안시 동남구,호텔,255
20220102,천안시 동남구,캠핑장/펜션,132
20220102,천안시 동남구,기타숙박,3777
20220102,천안시 동남구,관광기념품,642
20220102,천안시 동남구,레저용품쇼핑,11017
20220102,천안시 동남구,대형쇼핑몰,275640
20220102,천안시 동남구,관광유원시설,578
20220102,천안시 동남구,골프장,18731
20220102,천안시 동남구,기타레저,2488
20220102,천안시 동남구,문화서비스,1906
20220102,천안시 동남구,식음료,230877
20220103,천안시 동남구,콘도,2236
20220103,천안시 동남구,캠핑장/펜션,99
20220103,천안시 동남구,기타숙박,3766
20220103,천안시 동남구,레저용품쇼핑,10795
20220103,천안시 동남구,대형쇼핑몰,99562
20220103,천안시 동남구,관광유원시설,494
20220103,천안시 동남구,골프장,10447
20220103,천안시 동남구,기타레저,1820
20220103,천안시 동남구,문화서비스,1566
20220103,천안시 동남구,식음료,153297
20220104,천안시 동남구,콘도,969
20220104,천안시 동남구,기타숙박,6486
20220104,천안시 동남구,관광기념품,269
20220104,천안시 동남구,레저용품쇼핑,11418
20220104,천안시 동남구,대형쇼핑몰,85552
20220104,천안시 동남구,관광유원시설,776
20220104,천안시 동남구,골프장,14155
20220104,천안시 동남구,기타레저,1891
20220104,천안시 동남구,문화서비스,1706
20220104,천안시 동남구,식음료,165143
20220105,천안시 동남구,콘도,688
20220105,천안시 동남구,기타숙박,4220
20220105,천안시 동남구,관광기념품,337
20220105,천안시 동남구,레저용품쇼핑,11067
20220105,천안시 동남구,대형쇼핑몰,82502
20220105,천안시 동남구,관광유원시설,723
20220105,천안시 동남구,골프장,19035
20220105,천안시 동남구,기타레저,2252
20220105,천안시 동남구,문화서비스,1461
20220105,천안시 동남구,식음료,170524
20220106,천안시 동남구,호텔,390
20220106,천안시 동남구,콘도,2395
20220106,천안시 동남구,기타숙박,4918
20220106,천안시 동남구,관광기념품,358
20220106,천안시 동남구,레저용품쇼핑,11887
20220106,천안시 동남구,대형쇼핑몰,108670
20220106,천안시 동남구,관광유원시설,616
20220106,천안시 동남구,골프장,14516
20220106,천안시 동남구,기타레저,1075
20220106,천안시 동남구,문화서비스,1907
20220106,천안시 동남구,식음료,177258
20220107,천안시 동남구,콘도,2697
20220107,천안시 동남구,캠핑장/펜션,1194
20220107,천안시 동남구,기타숙박,5760
20220107,천안시 동남구,관광기념품,479
20220107,천안시 동남구,레저용품쇼핑,15376
20220107,천안시 동남구,대형쇼핑몰,123300
20220107,천안시 동남구,관광유원시설,379
20220107,천안시 동남구,골프장,15316
20220107,천안시 동남구,기타레저,1173
20220107,천안시 동남구,문화서비스,821
20220107,천안시 동남구,식음료,203234
20220108,천안시 동남구,호텔,280
20220108,천안시 동남구,캠핑장/펜션,176
20220108,천안시 동남구,기타숙박,6330
20220108,천안시 동남구,관광기념품,633
20220108,천안시 동남구,레저용품쇼핑,33276
20220108,천안시 동남구,대형쇼핑몰,233292
20220108,천안시 동남구,관광유원시설,826
20220108,천안시 동남구,골프장,25446
20220108,천안시 동남구,기타레저,3405
20220108,천안시 동남구,문화서비스,2756
20220108,천안시 동남구,식음료,301266
20220109,천안시 동남구,캠핑장/펜션,47
20220109,천안시 동남구,기타숙박,3698
20220109,천안시 동남구,관광기념품,544
20220109,천안시 동남구,레저용품쇼핑,13305
20220109,천안시 동남구,대형쇼핑몰,136046
20220109,천안시 동남구,관광유원시설,1092
20220109,천안시 동남구,골프장,30024
20220109,천안시 동남구,기타레저,3267
20220109,천안시 동남구,문화서비스,2368
20220109,천안시 동남구,식음료,258406
20220110,천안시 동남구,호텔,445
20220110,천안시 동남구,콘도,4071
20220110,천안시 동남구,기타숙박,4715
20220110,천안시 동남구,레저용품쇼핑,12734
20220110,천안시 동남구,대형쇼핑몰,100972
20220110,천안시 동남구,관광유원시설,404
20220110,천안시 동남구,골프장,18938
20220110,천안시 동남구,기타레저,1419
20220110,천안시 동남구,문화서비스,1527
20220110,천안시 동남구,식음료,168712
20220111,천안시 동남구,호텔,310
20220111,천안시 동남구,콘도,729
20220111,천안시 동남구,기타숙박,3935
20220111,천안시 동남구,관광기념품,290
20220111,천안시 동남구,레저용품쇼핑,10064
20220111,천안시 동남구,대형쇼핑몰,111454
20220111,천안시 동남구,관광유원시설,945
20220111,천안시 동남구,골프장,12354
20220111,천안시 동남구,기타레저,1460
20220111,천안시 동남구,문화서비스,1563
20220111,천안시 동남구,식음료,169592
20220112,천안시 동남구,호텔,340
20220112,천안시 동남구,콘도,604
20220112,천안시 동남구,기타숙박,3926
20220112,천안시 동남구,레저용품쇼핑,12566
20220112,천안시 동남구,대형쇼핑몰,121145
20220112,천안시 동남구,관광유원시설,179
20220112,천안시 동남구,골프장,15443
20220112,천안시 동남구,기타레저,926
20220112,천안시 동남구,문화서비스,1641
20220112,천안시 동남구,식음료,178373
20220113,천안시 동남구,호텔,430
20220113,천안시 동남구,콘도,2208
20220113,천안시 동남구,기타숙박,5002
20220113,천안시 동남구,레저용품쇼핑,14066
20220113,천안시 동남구,대형쇼핑몰,88219
20220113,천안시 동남구,관광유원시설,620
20220113,천안시 동남구,골프장,14820
20220113,천안시 동남구,기타레저,1119
20220113,천안시 동남구,문화서비스,1305
20220113,천안시 동남구,식음료,179319
20220114,천안시 동남구,콘도,7006
20220114,천안시 동남구,기타숙박,7364
20220114,천안시 동남구,관광기념품,716
20220114,천안시 동남구,레저용품쇼핑,12534
20220114,천안시 동남구,대형쇼핑몰,127526
20220114,천안시 동남구,관광유원시설,1085
20220114,천안시 동남구,골프장,14483
20220114,천안시 동남구,기타레저,801
20220114,천안시 동남구,문화서비스,1316
20220114,천안시 동남구,식음료,207693
20220115,천안시 동남구,호텔,400
20220115,천안시 동남구,콘도,9220
20220115,천안시 동남구,캠핑장/펜션,94
20220115,천안시 동남구,기타숙박,7566
20220115,천안시 동남구,관광기념품,460
20220115,천안시 동남구,레저용품쇼핑,18844
20220115,천안시 동남구,대형쇼핑몰,242823
20220115,천안시 동남구,관광유원시설,668
20220115,천안시 동남구,골프장,29300
20220115,천안시 동남구,기타레저,3614
20220115,천안시 동남구,문화서비스,3859
20220115,천안시 동남구,식음료,308843
20220116,천안시 동남구,호텔,435
20220116,천안시 동남구,콘도,13378
20220116,천안시 동남구,캠핑장/펜션,91
20220116,천안시 동남구,기타숙박,4110
20220116,천안시 동남구,관광기념품,322
20220116,천안시 동남구,레저용품쇼핑,14655
20220116,천안시 동남구,대형쇼핑몰,236053
20220116,천안시 동남구,관광유원시설,774
20220116,천안시 동남구,골프장,24233
20220116,천안시 동남구,기타레저,2842
20220116,천안시 동남구,문화서비스,3922
20220116,천안시 동남구,식음료,262417
20220117,천안시 동남구,호텔,723
20220117,천안시 동남구,콘도,3769
20220117,천안시 동남구,기타숙박,5154
20220117,천안시 동남구,레저용품쇼핑,10084
20220117,천안시 동남구,대형쇼핑몰,62636
20220117,천안시 동남구,관광유원시설,349
20220117,천안시 동남구,골프장,10896
20220117,천안시 동남구,기타레저,1085
20220117,천안시 동남구,문화서비스,832
20220117,천안시 동남구,식음료,157496
20220118,천안시 동남구,호텔,220
20220118,천안시 동남구,콘도,2719
20220118,천안시 동남구,캠핑장/펜션,81
20220118,천안시 동남구,기타숙박,4229
20220118,천안시 동남구,레저용품쇼핑,4461
20220118,천안시 동남구,대형쇼핑몰,102737
20220118,천안시 동남구,관광유원시설,709
20220118,천안시 동남구,골프장,5268
20220118,천안시 동남구,기타레저,1134
20220118,천안시 동남구,문화서비스,918
20220118,천안시 동남구,식음료,178597
20220119,천안시 동남구,호텔,490
20220119,천안시 동남구,콘도,902
20220119,천안시 동남구,기타숙박,8352
20220119,천안시 동남구,레저용품쇼핑,8381
20220119,천안시 동남구,대형쇼핑몰,87284
20220119,천안시 동남구,관광유원시설,345
20220119,천안시 동남구,골프장,14667
20220119,천안시 동남구,기타레저,1150
20220119,천안시 동남구,문화서비스,1335
20220119,천안시 동남구,식음료,174055
20220120,천안시 동남구,콘도,2628
20220120,천안시 동남구,기타숙박,6246
20220120,천안시 동남구,관광기념품,657
20220120,천안시 동남구,레저용품쇼핑,12870
20220120,천안시 동남구,대형쇼핑몰,85913
20220120,천안시 동남구,관광유원시설,1159
20220120,천안시 동남구,골프장,15685
20220120,천안시 동남구,기타레저,1492
20220120,천안시 동남구,문화서비스,1274
20220120,천안시 동남구,식음료,186691
20220121,천안시 동남구,콘도,4565
20220121,천안시 동남구,캠핑장/펜션,186
20220121,천안시 동남구,기타숙박,6273
20220121,천안시 동남구,관광기념품,290
20220121,천안시 동남구,레저용품쇼핑,13524
20220121,천안시 동남구,대형쇼핑몰,133376
20220121,천안시 동남구,관광유원시설,310
20220121,천안시 동남구,골프장,19391
20220121,천안시 동남구,기타레저,2165
20220121,천안시 동남구,문화서비스,2014
20220121,천안시 동남구,식음료,211578
20220122,천안시 동남구,콘도,14760
20220122,천안시 동남구,캠핑장/펜션,139
20220122,천안시 동남구,기타숙박,8184
20220122,천안시 동남구,관광기념품,1754
20220122,천안시 동남구,레저용품쇼핑,24083
20220122,천안시 동남구,대형쇼핑몰,219768
20220122,천안시 동남구,관광유원시설,1144
20220122,천안시 동남구,골프장,25682
20220122,천안시 동남구,기타레저,2923
20220122,천안시 동남구,문화서비스,2490
20220122,천안시 동남구,식음료,312515
20220123,천안시 동남구,호텔,210
20220123,천안시 동남구,콘도,12103
20220123,천안시 동남구,캠핑장/펜션,105
20220123,천안시 동남구,기타숙박,6654
20220123,천안시 동남구,관광기념품,986
20220123,천안시 동남구,레저용품쇼핑,16534
20220123,천안시 동남구,대형쇼핑몰,144266
20220123,천안시 동남구,관광유원시설,712
20220123,천안시 동남구,골프장,34442
20220123,천안시 동남구,기타레저,3559
20220123,천안시 동남구,문화서비스,2349
20220123,천안시 동남구,식음료,267346
20220124,천안시 동남구,콘도,3767
20220124,천안시 동남구,캠핑장/펜션,40
20220124,천안시 동남구,기타숙박,6703
20220124,천안시 동남구,레저용품쇼핑,10977
20220124,천안시 동남구,대형쇼핑몰,123749
20220124,천안시 동남구,관광유원시설,106
20220124,천안시 동남구,골프장,19960
20220124,천안시 동남구,기타레저,977
20220124,천안시 동남구,문화서비스,1446
20220124,천안시 동남구,식음료,162617
20220124,천안시 동남구,관광기념품,383
20220125,천안시 동남구,호텔,175
20220125,천안시 동남구,콘도,2063
20220125,천안시 동남구,기타숙박,5315
20220125,천안시 동남구,레저용품쇼핑,16108
20220125,천안시 동남구,대형쇼핑몰,110035
20220125,천안시 동남구,관광유원시설,240
20220125,천안시 동남구,골프장,15604
20220125,천안시 동남구,기타레저,1581
20220125,천안시 동남구,문화서비스,1282
20220125,천안시 동남구,식음료,181409
20220126,천안시 동남구,콘도,1294
20220126,천안시 동남구,기타숙박,4698
20220126,천안시 동남구,관광기념품,497
20220126,천안시 동남구,레저용품쇼핑,9909
20220126,천안시 동남구,대형쇼핑몰,86913
20220126,천안시 동남구,관광유원시설,620
20220126,천안시 동남구,골프장,19975
20220126,천안시 동남구,기타레저,1755
20220126,천안시 동남구,문화서비스,1967
20220126,천안시 동남구,식음료,196817
20220127,천안시 동남구,호텔,245
20220127,천안시 동남구,콘도,3671
20220127,천안시 동남구,캠핑장/펜션,18
20220127,천안시 동남구,기타숙박,4270
20220127,천안시 동남구,레저용품쇼핑,10404
20220127,천안시 동남구,대형쇼핑몰,112327
20220127,천안시 동남구,관광유원시설,147
20220127,천안시 동남구,골프장,18539
20220127,천안시 동남구,기타레저,1473
20220127,천안시 동남구,문화서비스,1558
20220127,천안시 동남구,식음료,208383
20220128,천안시 동남구,호텔,270
20220128,천안시 동남구,콘도,5038
20220128,천안시 동남구,캠핑장/펜션,283
20220128,천안시 동남구,기타숙박,4617
20220128,천안시 동남구,레저용품쇼핑,13890
20220128,천안시 동남구,대형쇼핑몰,149635
20220128,천안시 동남구,관광유원시설,386
20220128,천안시 동남구,골프장,20963
20220128,천안시 동남구,기타레저,1372
20220128,천안시 동남구,문화서비스,1779
20220128,천안시 동남구,식음료,232525
20220129,천안시 동남구,호텔,545
20220129,천안시 동남구,콘도,9809
20220129,천안시 동남구,캠핑장/펜션,276
20220129,천안시 동남구,기타숙박,6414
20220129,천안시 동남구,레저용품쇼핑,23422
20220129,천안시 동남구,대형쇼핑몰,263165
20220129,천안시 동남구,관광유원시설,245
20220129,천안시 동남구,골프장,31255
20220129,천안시 동남구,기타레저,2457
20220129,천안시 동남구,문화서비스,2603
20220129,천안시 동남구,식음료,278188
20220130,천안시 동남구,호텔,440
20220130,천안시 동남구,콘도,14658
20220130,천안시 동남구,캠핑장/펜션,330
20220130,천안시 동남구,기타숙박,6468
20220130,천안시 동남구,관광기념품,535
20220130,천안시 동남구,레저용품쇼핑,11846
20220130,천안시 동남구,대형쇼핑몰,214398
20220130,천안시 동남구,관광유원시설,1110
20220130,천안시 동남구,골프장,33000
20220130,천안시 동남구,기타레저,1978
20220130,천안시 동남구,문화서비스,3238
20220130,천안시 동남구,식음료,245804
20220131,천안시 동남구,호텔,485
20220131,천안시 동남구,콘도,19725
20220131,천안시 동남구,캠핑장/펜션,44
20220131,천안시 동남구,기타숙박,3577
