날짜,대분류,중분류,대분류 소비액(천원),대분류 지출액 비율,중분류 소비액(천원),중분류 지출액 비율
202201,쇼핑업,관광기념품,4643550,37.7,14047,0.1
202201,쇼핑업,대형쇼핑몰,4643550,37.7,4203313,34.1
202201,쇼핑업,레저용품쇼핑,4643550,37.7,426190,3.5
202201,숙박업,기타숙박,347794,2.8,168914,1.4
202201,숙박업,캠핑장/펜션,347794,2.8,3467,0
202201,숙박업,콘도,347794,2.8,166586,1.4
202201,숙박업,호텔,347794,2.8,8828,0.1
202201,식음료업,식음료,6586494,53.5,6586494,53.5
202201,여가서비스업,골프장,738784,6,600781,4.9
202201,여가서비스업,관광유원시설,738784,6,19219,0.2
202201,여가서비스업,기타레저,738784,6,58995,0.5
202201,여가서비스업,문화서비스,738784,6,59789,0.5
202201,운송업,렌터카,1370,0,1370,0
202202,쇼핑업,관광기념품,4174282,37.6,12361,0.1
202202,쇼핑업,대형쇼핑몰,4174282,37.6,3775571,34
202202,쇼핑업,레저용품쇼핑,4174282,37.6,386351,3.5
202202,숙박업,기타숙박,333249,3,167927,1.5
202202,숙박업,캠핑장/펜션,333249,3,4728,0
202202,숙박업,콘도,333249,3,153751,1.4
202202,숙박업,호텔,333249,3,6843,0.1
202202,식음료업,식음료,5793429,52.2,5793429,52.2
202202,여가서비스업,골프장,788545,7.1,674780,6.1
202202,여가서비스업,관광유원시설,788545,7.1,21532,0.2
202202,여가서비스업,기타레저,788545,7.1,45098,0.4
202202,여가서비스업,문화서비스,788545,7.1,47135,0.4
202202,운송업,렌터카,1484,0,1484,0
202203,쇼핑업,관광기념품,5286887,36.4,15466,0.1
202203,쇼핑업,대형쇼핑몰,5286887,36.4,4652415,32
202203,쇼핑업,레저용품쇼핑,5286887,36.4,619006,4.3
202203,숙박업,기타숙박,283688,2,185702,1.3
202203,숙박업,캠핑장/펜션,283688,2,2093,0
202203,숙박업,콘도,283688,2,85683,0.6
202203,숙박업,호텔,283688,2,10210,0.1
202203,식음료업,식음료,7536117,51.9,7536117,51.9
202203,여가서비스업,골프장,1420108,9.8,1305368,9
202203,여가서비스업,관광유원시설,1420108,9.8,18268,0.1
202203,여가서비스업,기타레저,1420108,9.8,52988,0.4
202203,여가서비스업,문화서비스,1420108,9.8,43483,0.3
202203,여행업,여행업,0,0,0,0
202203,운송업,렌터카,1470,0,1470,0
202204,쇼핑업,관광기념품,5294598,33.1,17279,0.1
202204,쇼핑업,대형쇼핑몰,5294598,33.1,4585453,28.7
202204,쇼핑업,레저용품쇼핑,5294598,33.1,691865,4.3
202204,숙박업,기타숙박,380172,2.4,193357,1.2
202204,숙박업,캠핑장/펜션,380172,2.4,4312,0
202204,숙박업,콘도,380172,2.4,178347,1.1
202204,숙박업,호텔,380172,2.4,4155,0
202204,식음료업,식음료,8808725,55.1,8808725,55.1
202204,여가서비스업,골프장,1507347,9.4,1365147,8.5
202204,여가서비스업,관광유원시설,1507347,9.4,26887,0.2
202204,여가서비스업,기타레저,1507347,9.4,57666,0.4
202204,여가서비스업,문화서비스,1507347,9.4,57648,0.4
202204,여행업,여행업,5312,0,5312,0
202204,운송업,렌터카,3067,0,3067,0
202205,쇼핑업,관광기념품,5600998,31.4,17785,0.1
202205,쇼핑업,대형쇼핑몰,5600998,31.4,4906474,27.5
202205,쇼핑업,레저용품쇼핑,5600998,31.4,676739,3.8
202205,숙박업,기타숙박,607370,3.4,211966,1.2
202205,숙박업,캠핑장/펜션,607370,3.4,6719,0
202205,숙박업,콘도,607370,3.4,381783,2.1
202205,숙박업,호텔,607370,3.4,6902,0
202205,식음료업,식음료,9780898,54.8,9780898,54.8
202205,여가서비스업,골프장,1846425,10.3,1568788,8.8
202205,여가서비스업,관광유원시설,1846425,10.3,32347,0.2
202205,여가서비스업,기타레저,1846425,10.3,67583,0.4
202205,여가서비스업,문화서비스,1846425,10.3,177708,1
202205,여행업,여행업,3520,0,3520,0
202205,운송업,렌터카,5384,0,5112,0
202205,운송업,육상운송,5384,0,271,0
202206,쇼핑업,관광기념품,7227125,38.6,17674,0.1
202206,쇼핑업,대형쇼핑몰,7227125,38.6,6613507,35.4
202206,쇼핑업,레저용품쇼핑,7227125,38.6,595944,3.2
202206,숙박업,기타숙박,708911,3.8,214916,1.1
202206,숙박업,캠핑장/펜션,708911,3.8,8372,0
202206,숙박업,콘도,708911,3.8,477308,2.6
202206,숙박업,호텔,708911,3.8,8315,0
202206,식음료업,식음료,8993906,48.1,8993906,48.1
202206,여가서비스업,골프장,1767826,9.5,1484567,7.9
202206,여가서비스업,관광유원시설,1767826,9.5,26964,0.1
202206,여가서비스업,기타레저,1767826,9.5,73950,0.4
