기준년월,기초지자체,중분류,소비액(천원)
20220101,천안시 서북구,관광총소비,667757
20220102,천안시 서북구,관광총소비,795870
20220103,천안시 서북구,관광총소비,408959
20220104,천안시 서북구,관광총소비,358249
20220105,천안시 서북구,관광총소비,440877
20220106,천안시 서북구,관광총소비,422244
20220107,천안시 서북구,관광총소비,516883
20220108,천안시 서북구,관광총소비,851404
20220109,천안시 서북구,관광총소비,593471
20220110,천안시 서북구,관광총소비,427266
20220111,천안시 서북구,관광총소비,430850
20220112,천안시 서북구,관광총소비,459984
20220113,천안시 서북구,관광총소비,483979
20220114,천안시 서북구,관광총소비,624083
20220115,천안시 서북구,관광총소비,925099
20220116,천안시 서북구,관광총소비,786337
20220117,천안시 서북구,관광총소비,405101
20220118,천안시 서북구,관광총소비,434595
20220119,천안시 서북구,관광총소비,468943
20220120,천안시 서북구,관광총소비,470103
20220121,천안시 서북구,관광총소비,591210
20220122,천안시 서북구,관광총소비,966284
20220123,천안시 서북구,관광총소비,666658
20220124,천안시 서북구,관광총소비,468844
20220125,천안시 서북구,관광총소비,475074
20220126,천안시 서북구,관광총소비,507251
20220127,천안시 서북구,관광총소비,556929
20220128,천안시 서북구,관광총소비,643941
20220129,천안시 서북구,관광총소비,908769
20220130,천안시 서북구,관광총소비,753220
20220131,천안시 서북구,관광총소비,442161
20220101,천안시 서북구,호텔,2721
20220101,천안시 서북구,기타숙박,14095
20220101,천안시 서북구,레저용품쇼핑,42363
20220101,천안시 서북구,대형쇼핑몰,286967
20220101,천안시 서북구,골프장,7652
20220101,천안시 서북구,기타레저,5001
20220101,천안시 서북구,문화서비스,3236
20220101,천안시 서북구,식음료,305303
20220102,천안시 서북구,호텔,1503
20220102,천안시 서북구,기타숙박,11343
20220102,천안시 서북구,레저용품쇼핑,38013
20220102,천안시 서북구,대형쇼핑몰,487656
20220102,천안시 서북구,골프장,7594
20220102,천안시 서북구,기타레저,4684
20220102,천안시 서북구,문화서비스,3094
20220102,천안시 서북구,식음료,241504
20220103,천안시 서북구,호텔,983
20220103,천안시 서북구,기타숙박,13761
20220103,천안시 서북구,레저용품쇼핑,25498
20220103,천안시 서북구,대형쇼핑몰,144668
20220103,천안시 서북구,골프장,8967
20220103,천안시 서북구,기타레저,2372
20220103,천안시 서북구,문화서비스,3755
20220103,천안시 서북구,식음료,207675
20220104,천안시 서북구,호텔,921
20220104,천안시 서북구,기타숙박,13824
20220104,천안시 서북구,레저용품쇼핑,26853
20220104,천안시 서북구,대형쇼핑몰,76575
20220104,천안시 서북구,골프장,9202
20220104,천안시 서북구,기타레저,4024
20220104,천안시 서북구,문화서비스,2356
20220104,천안시 서북구,식음료,223736
20220104,천안시 서북구,관광기념품,612
20220105,천안시 서북구,호텔,1330
20220105,천안시 서북구,기타숙박,14984
20220105,천안시 서북구,관광기념품,323
20220105,천안시 서북구,레저용품쇼핑,27726
20220105,천안시 서북구,대형쇼핑몰,146373
20220105,천안시 서북구,골프장,8732
20220105,천안시 서북구,기타레저,2672
20220105,천안시 서북구,문화서비스,1813
20220105,천안시 서북구,식음료,236832
20220105,천안시 서북구,여행업,17
20220106,천안시 서북구,호텔,698
20220106,천안시 서북구,기타숙박,12184
20220106,천안시 서북구,레저용품쇼핑,25427
20220106,천안시 서북구,대형쇼핑몰,123920
20220106,천안시 서북구,골프장,6776
20220106,천안시 서북구,기타레저,2747
20220106,천안시 서북구,문화서비스,3049
20220106,천안시 서북구,식음료,247222
20220106,천안시 서북구,관광기념품,125
20220107,천안시 서북구,호텔,2547
20220107,천안시 서북구,기타숙박,13052
20220107,천안시 서북구,레저용품쇼핑,27119
20220107,천안시 서북구,대형쇼핑몰,190735
20220107,천안시 서북구,골프장,6527
20220107,천안시 서북구,기타레저,3782
20220107,천안시 서북구,문화서비스,2092
20220107,천안시 서북구,식음료,270471
20220107,천안시 서북구,관광기념품,245
20220108,천안시 서북구,호텔,2152
20220108,천안시 서북구,기타숙박,18474
20220108,천안시 서북구,레저용품쇼핑,52707
20220108,천안시 서북구,대형쇼핑몰,376652
20220108,천안시 서북구,골프장,9188
20220108,천안시 서북구,기타레저,5450
20220108,천안시 서북구,문화서비스,3083
20220108,천안시 서북구,식음료,383456
20220108,천안시 서북구,관광기념품,94
20220109,천안시 서북구,호텔,693
20220109,천안시 서북구,기타숙박,11644
20220109,천안시 서북구,레저용품쇼핑,45036
20220109,천안시 서북구,대형쇼핑몰,250829
20220109,천안시 서북구,골프장,8384
20220109,천안시 서북구,기타레저,6169
20220109,천안시 서북구,문화서비스,2726
20220109,천안시 서북구,식음료,266991
20220110,천안시 서북구,호텔,737
20220110,천안시 서북구,기타숙박,14002
20220110,천안시 서북구,레저용품쇼핑,23159
20220110,천안시 서북구,대형쇼핑몰,149356
20220110,천안시 서북구,골프장,11778
20220110,천안시 서북구,기타레저,3187
20220110,천안시 서북구,문화서비스,2528
20220110,천안시 서북구,식음료,222340
20220110,천안시 서북구,관광기념품,179
20220111,천안시 서북구,호텔,1894
20220111,천안시 서북구,기타숙박,17457
20220111,천안시 서북구,레저용품쇼핑,31088
20220111,천안시 서북구,대형쇼핑몰,143297
20220111,천안시 서북구,골프장,7462
20220111,천안시 서북구,기타레저,1993
20220111,천안시 서북구,문화서비스,1510
20220111,천안시 서북구,식음료,225747
20220111,천안시 서북구,여행업,38
20220111,천안시 서북구,관광기념품,231
20220112,천안시 서북구,호텔,611
20220112,천안시 서북구,기타숙박,16564
20220112,천안시 서북구,레저용품쇼핑,29158
20220112,천안시 서북구,대형쇼핑몰,153039
20220112,천안시 서북구,골프장,9854
20220112,천안시 서북구,기타레저,1870
20220112,천안시 서북구,문화서비스,1777
20220112,천안시 서북구,식음료,246797
20220112,천안시 서북구,여행업,22
20220112,천안시 서북구,관광기념품,167
20220113,천안시 서북구,호텔,1034
20220113,천안시 서북구,기타숙박,14480
20220113,천안시 서북구,여행업,22
20220113,천안시 서북구,레저용품쇼핑,33170
20220113,천안시 서북구,대형쇼핑몰,169667
20220113,천안시 서북구,골프장,7798
20220113,천안시 서북구,기타레저,5107
20220113,천안시 서북구,문화서비스,2859
20220113,천안시 서북구,식음료,249519
20220113,천안시 서북구,관광기념품,196
20220114,천안시 서북구,호텔,1698
20220114,천안시 서북구,기타숙박,18120
20220114,천안시 서북구,관광기념품,269
20220114,천안시 서북구,레저용품쇼핑,31892
20220114,천안시 서북구,대형쇼핑몰,265391
20220114,천안시 서북구,골프장,8474
20220114,천안시 서북구,기타레저,4487
20220114,천안시 서북구,문화서비스,2347
20220114,천안시 서북구,식음료,291275
20220115,천안시 서북구,호텔,3486
20220115,천안시 서북구,기타숙박,20349
20220115,천안시 서북구,레저용품쇼핑,49107
20220115,천안시 서북구,대형쇼핑몰,438565
20220115,천안시 서북구,골프장,10421
20220115,천안시 서북구,기타레저,6070
20220115,천안시 서북구,문화서비스,5295
20220115,천안시 서북구,식음료,390683
20220115,천안시 서북구,관광기념품,133
20220116,천안시 서북구,호텔,1582
20220116,천안시 서북구,기타숙박,12967
20220116,천안시 서북구,레저용품쇼핑,46204
20220116,천안시 서북구,대형쇼핑몰,419583
20220116,천안시 서북구,골프장,8157
20220116,천안시 서북구,기타레저,5755
20220116,천안시 서북구,문화서비스,4761
20220116,천안시 서북구,식음료,286549
20220117,천안시 서북구,호텔,1150
20220117,천안시 서북구,기타숙박,13376
20220117,천안시 서북구,레저용품쇼핑,22869
20220117,천안시 서북구,대형쇼핑몰,142987
20220117,천안시 서북구,골프장,7328
20220117,천안시 서북구,기타레저,3888
20220117,천안시 서북구,문화서비스,2042
20220117,천안시 서북구,식음료,211297
20220117,천안시 서북구,관광기념품,122
20220118,천안시 서북구,호텔,690
20220118,천안시 서북구,기타숙박,13055
20220118,천안시 서북구,레저용품쇼핑,28977
20220118,천안시 서북구,대형쇼핑몰,137635
20220118,천안시 서북구,골프장,9000
20220118,천안시 서북구,기타레저,2721
20220118,천안시 서북구,문화서비스,2569
20220118,천안시 서북구,식음료,239553
20220118,천안시 서북구,관광기념품,194
20220119,천안시 서북구,호텔,2430
20220119,천안시 서북구,기타숙박,14523
20220119,천안시 서북구,레저용품쇼핑,24210
20220119,천안시 서북구,대형쇼핑몰,174399
20220119,천안시 서북구,골프장,5892
20220119,천안시 서북구,기타레저,2738
20220119,천안시 서북구,문화서비스,1733
20220119,천안시 서북구,식음료,242849
20220119,천안시 서북구,관광기념품,140
20220120,천안시 서북구,호텔,1083
20220120,천안시 서북구,기타숙박,14501
20220120,천안시 서북구,여행업,545
20220120,천안시 서북구,관광기념품,721
20220120,천안시 서북구,레저용품쇼핑,23946
20220120,천안시 서북구,대형쇼핑몰,160318
20220120,천안시 서북구,골프장,4508
20220120,천안시 서북구,기타레저,1900
20220120,천안시 서북구,문화서비스,1916
20220120,천안시 서북구,식음료,260408
20220121,천안시 서북구,호텔,2533
20220121,천안시 서북구,기타숙박,13108
20220121,천안시 서북구,레저용품쇼핑,27813
20220121,천안시 서북구,대형쇼핑몰,237025
20220121,천안시 서북구,골프장,7152
20220121,천안시 서북구,기타레저,2766
20220121,천안시 서북구,문화서비스,1758
20220121,천안시 서북구,식음료,298544
20220121,천안시 서북구,여행업,32
20220121,천안시 서북구,관광기념품,191
20220122,천안시 서북구,호텔,4069
20220122,천안시 서북구,기타숙박,22931
20220122,천안시 서북구,레저용품쇼핑,49968
20220122,천안시 서북구,대형쇼핑몰,460161
20220122,천안시 서북구,골프장,8392
20220122,천안시 서북구,기타레저,5082
20220122,천안시 서북구,문화서비스,3971
20220122,천안시 서북구,식음료,410919
20220122,천안시 서북구,관광기념품,430
20220123,천안시 서북구,호텔,2736
