날짜,대분류,중분류,대분류 소비액(천원),대분류 지출액 비율,중분류 소비액(천원),중분류 지출액 비율
202201,쇼핑업,관광기념품,8612042,48,8184,0
202201,쇼핑업,대형쇼핑몰,8612042,48,7497575,41.8
202201,쇼핑업,레저용품쇼핑,8612042,48,1106283,6.2
202201,숙박업,기타숙박,503490,2.8,447266,2.5
202201,숙박업,호텔,503490,2.8,56224,0.3
202201,식음료업,식음료,8377212,46.7,8377212,46.7
202201,여가서비스업,골프장,458637,2.6,245427,1.4
202201,여가서비스업,관광유원시설,458637,2.6,8199,0
202201,여가서비스업,기타레저,458637,2.6,117144,0.7
202201,여가서비스업,문화서비스,458637,2.6,87868,0.5
202201,여행업,여행업,910,0,910,0
202201,운송업,렌터카,100,0,100,0
202202,쇼핑업,관광기념품,6947287,45.9,10548,0.1
202202,쇼핑업,대형쇼핑몰,6947287,45.9,5924094,39.2
202202,쇼핑업,레저용품쇼핑,6947287,45.9,1012646,6.7
202202,숙박업,기타숙박,435043,2.9,387692,2.6
202202,숙박업,호텔,435043,2.9,47350,0.3
202202,식음료업,식음료,7290847,48.2,7290847,48.2
202202,여가서비스업,골프장,451590,3,260498,1.7
202202,여가서비스업,관광유원시설,451590,3,7885,0.1
202202,여가서비스업,기타레저,451590,3,113172,0.7
202202,여가서비스업,문화서비스,451590,3,70035,0.5
202202,여행업,여행업,1765,0,1765,0
202202,운송업,렌터카,0,0,0,0
202203,쇼핑업,관광기념품,7600379,42.3,13878,0.1
202203,쇼핑업,대형쇼핑몰,7600379,42.3,6288673,35
202203,쇼핑업,레저용품쇼핑,7600379,42.3,1297828,7.2
202203,숙박업,기타숙박,519491,2.9,473569,2.6
202203,숙박업,호텔,519491,2.9,45922,0.3
202203,식음료업,식음료,9295673,51.8,9295673,51.8
202203,여가서비스업,골프장,532250,3,326682,1.8
202203,여가서비스업,관광유원시설,532250,3,7178,0
202203,여가서비스업,기타레저,532250,3,132486,0.7
202203,여가서비스업,문화서비스,532250,3,65903,0.4
202203,여행업,여행업,3230,0,3230,0
202203,운송업,렌터카,270,0,270,0
202204,쇼핑업,관광기념품,8265263,40.7,14662,0.1
202204,쇼핑업,대형쇼핑몰,8265263,40.7,6740883,33.2
202204,쇼핑업,레저용품쇼핑,8265263,40.7,1509718,7.4
202204,숙박업,기타숙박,529673,2.6,488257,2.4
202204,숙박업,캠핑장/펜션,529673,2.6,286,0
202204,숙박업,호텔,529673,2.6,41130,0.2
202204,식음료업,식음료,1.10E+07,54.1,1.10E+07,54.1
202204,여가서비스업,골프장,530731,2.6,295329,1.5
202204,여가서비스업,관광유원시설,530731,2.6,8553,0
202204,여가서비스업,기타레저,530731,2.6,138603,0.7
202204,여가서비스업,문화서비스,530731,2.6,88247,0.4
202204,여행업,여행업,1306,0,1306,0
202204,운송업,렌터카,881,0,881,0
202205,쇼핑업,관광기념품,9993868,41.9,18368,0.1
202205,쇼핑업,대형쇼핑몰,9993868,41.9,8452537,35.4
202205,쇼핑업,레저용품쇼핑,9993868,41.9,1522962,6.4
202205,숙박업,기타숙박,550944,2.3,516319,2.2
202205,숙박업,캠핑장/펜션,550944,2.3,595,0
202205,숙박업,호텔,550944,2.3,34030,0.1
202205,식음료업,식음료,1.25E+07,52.5,1.25E+07,52.5
202205,여가서비스업,골프장,781749,3.3,327599,1.4
202205,여가서비스업,관광유원시설,781749,3.3,10255,0
202205,여가서비스업,기타레저,781749,3.3,176684,0.7
202205,여가서비스업,문화서비스,781749,3.3,267211,1.1
