정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,Coordinates,Within 1km
CAB285001526,황사동,36.7782992,127.3500455,2023-10-16,1526.0,34010,충청남도 천안시,천안,"(36.7782992, 127.3500455)",No
CAB285001527,황사동,36.778155,127.3500962,2023-10-16,1527.0,34010,충청남도 천안시,천안,"(36.778155, 127.3500962)",No
CAB285001528,광덕1리,36.7883254,127.3472296,2023-10-16,1528.0,34010,충청남도 천안시,천안,"(36.7883254, 127.3472296)",No
CAB285001529,동산리,36.7857507,127.3566088,2023-10-16,1529.0,34010,충청남도 천안시,천안,"(36.7857507, 127.3566088)",No
CAB285001530,동산리,36.78542784,127.3565762,2023-10-16,1530.0,34010,충청남도 천안시,천안,"(36.78542784, 127.3565762)",No
CAB285001531,행암리(종점),36.80463937,127.35436739,2023-10-16,1531.0,34010,충청남도 천안시,천안,"(36.80463937, 127.35436739)",No
CAB285001532,행암리,36.8028094,127.3551869,2023-10-16,1532.0,34010,충청남도 천안시,천안,"(36.8028094, 127.3551869)",No
CAB285001533,행암리,36.8027194,127.355316,2023-10-16,1533.0,34010,충청남도 천안시,천안,"(36.8027194, 127.355316)",No
CAB285001535,상동리,36.7703931,127.2597928,2023-10-16,1535.0,34010,충청남도 천안시,천안,"(36.7703931, 127.2597928)",No
CAB285001536,전곡리(길마제),36.85064172,127.26684599,2023-10-16,1536.0,34010,충청남도 천안시,천안,"(36.85064172, 127.26684599)",No
CAB285001537,납안1리,36.8554603,127.2666143,2023-10-16,1537.0,34010,충청남도 천안시,천안,"(36.8554603, 127.2666143)",No
CAB285001540,호당1리,36.8850546,127.23320241,2023-10-16,1540.0,34010,충청남도 천안시,천안,"(36.8850546, 127.23320241)",No
CAB285001541,호당1리,36.8848893,127.2331829,2023-10-16,1541.0,34010,충청남도 천안시,천안,"(36.8848893, 127.2331829)",No
CAB285001542,시장리(전원주택단지),36.897671,127.2295636,2023-10-16,1542.0,34010,충청남도 천안시,천안,"(36.897671, 127.2295636)",No
CAB285001543,시장리(전원주택단지),36.8976722,127.2292886,2023-10-16,1543.0,34010,충청남도 천안시,천안,"(36.8976722, 127.2292886)",No
CAB285001544,천정2리,36.7597728,127.2111488,2023-10-16,1544.0,34010,충청남도 천안시,천안,"(36.7597728, 127.2111488)",No
CAB285001545,용원1리,36.7471151,127.2141077,2023-10-16,1545.0,34010,충청남도 천안시,천안,"(36.7471151, 127.2141077)",No
CAB285001546,매송1리 느러니,36.8058637,127.27400902,2023-10-16,1546.0,34010,충청남도 천안시,천안,"(36.8058637, 127.27400902)",No
CAB285001548,상동2리,36.770451,127.2630803,2023-10-16,362.0,34010,충청남도 천안시,천안,"(36.770451, 127.2630803)",No
CAB285001555,문덕리,36.8789115,127.1811532,2023-10-16,1555.0,34010,충청남도 천안시,천안,"(36.8789115, 127.1811532)",No
CAB285001556,충청연수원 정문,36.8823878,127.1739131,2023-10-16,1556.0,34010,충청남도 천안시,천안,"(36.8823878, 127.1739131)",No
CAB285001557,충청연수원 정문,36.882369,127.17376267,2023-10-16,1557.0,34010,충청남도 천안시,천안,"(36.882369, 127.17376267)",No
CAB285001558,신덕1리,36.91294292,127.21401954,2023-10-16,1558.0,34010,충청남도 천안시,천안,"(36.91294292, 127.21401954)",No
CAB285001559,신덕1리,36.9131026,127.21339054,2023-10-16,1559.0,34010,충청남도 천안시,천안,"(36.9131026, 127.21339054)",No
CAB285001560,가산1리,36.93700461,127.19493575,2023-10-16,1560.0,34010,충청남도 천안시,천안,"(36.93700461, 127.19493575)",No
