기준년월,기초지자체,방문자 구분,방문자 수
2022-01-01,천안시 동남구,외국인방문자(c),28.0
2022-01-01,천안시 동남구,외부방문자(b+c),106459.0
2022-01-01,천안시 동남구,외지인방문자(b),106432.0
2022-01-01,천안시 동남구,전체방문자(a+b+c),213094.0
2022-01-01,천안시 동남구,현지인방문자(a),106634.0
2022-01-01,천안시 서북구,외국인방문자(c),69.0
2022-01-01,천안시 서북구,외부방문자(b+c),88847.0
2022-01-01,천안시 서북구,외지인방문자(b),88778.0
2022-01-01,천안시 서북구,전체방문자(a+b+c),197088.0
2022-01-01,천안시 서북구,현지인방문자(a),108241.0
2022-01-02,천안시 동남구,외국인방문자(c),28.0
2022-01-02,천안시 동남구,외부방문자(b+c),104041.0
2022-01-02,천안시 동남구,외지인방문자(b),104013.0
2022-01-02,천안시 동남구,전체방문자(a+b+c),214155.0
2022-01-02,천안시 동남구,현지인방문자(a),110114.0
2022-01-02,천안시 서북구,외국인방문자(c),61.0
2022-01-02,천안시 서북구,외부방문자(b+c),84061.0
2022-01-02,천안시 서북구,외지인방문자(b),84000.0
2022-01-02,천안시 서북구,전체방문자(a+b+c),196219.0
2022-01-02,천안시 서북구,현지인방문자(a),112158.0
2022-01-03,천안시 동남구,외국인방문자(c),36.0
2022-01-03,천안시 동남구,외부방문자(b+c),78013.0
2022-01-03,천안시 동남구,외지인방문자(b),77976.0
2022-01-03,천안시 동남구,전체방문자(a+b+c),204394.0
2022-01-03,천안시 동남구,현지인방문자(a),126382.0
2022-01-03,천안시 서북구,외국인방문자(c),100.0
2022-01-03,천안시 서북구,외부방문자(b+c),69046.0
2022-01-03,천안시 서북구,외지인방문자(b),68946.0
2022-01-03,천안시 서북구,전체방문자(a+b+c),197930.0
2022-01-03,천안시 서북구,현지인방문자(a),128884.0
2022-01-04,천안시 동남구,외국인방문자(c),51.0
2022-01-04,천안시 동남구,외부방문자(b+c),79858.0
2022-01-04,천안시 동남구,외지인방문자(b),79807.0
2022-01-04,천안시 동남구,전체방문자(a+b+c),205113.0
2022-01-04,천안시 동남구,현지인방문자(a),125254.0
2022-01-04,천안시 서북구,외국인방문자(c),184.0
2022-01-04,천안시 서북구,외부방문자(b+c),72830.0
2022-01-04,천안시 서북구,외지인방문자(b),72646.0
2022-01-04,천안시 서북구,전체방문자(a+b+c),201731.0
2022-01-04,천안시 서북구,현지인방문자(a),128902.0
2022-01-05,천안시 동남구,외국인방문자(c),80.0
2022-01-05,천안시 동남구,외부방문자(b+c),81760.0
2022-01-05,천안시 동남구,외지인방문자(b),81680.0
2022-01-05,천안시 동남구,전체방문자(a+b+c),207462.0
2022-01-05,천안시 동남구,현지인방문자(a),125702.0
2022-01-05,천안시 서북구,외국인방문자(c),261.0
2022-01-05,천안시 서북구,외부방문자(b+c),75651.0
2022-01-05,천안시 서북구,외지인방문자(b),75390.0
2022-01-05,천안시 서북구,전체방문자(a+b+c),205547.0
2022-01-05,천안시 서북구,현지인방문자(a),129896.0
2022-01-06,천안시 동남구,외국인방문자(c),86.0
2022-01-06,천안시 동남구,외부방문자(b+c),85083.0
2022-01-06,천안시 동남구,외지인방문자(b),84998.0
2022-01-06,천안시 동남구,전체방문자(a+b+c),210989.0
2022-01-06,천안시 동남구,현지인방문자(a),125906.0
2022-01-06,천안시 서북구,외국인방문자(c),257.0
2022-01-06,천안시 서북구,외부방문자(b+c),78499.0
2022-01-06,천안시 서북구,외지인방문자(b),78242.0
2022-01-06,천안시 서북구,전체방문자(a+b+c),208125.0
2022-01-06,천안시 서북구,현지인방문자(a),129626.0
2022-01-07,천안시 동남구,외국인방문자(c),76.0
2022-01-07,천안시 동남구,외부방문자(b+c),94569.0
2022-01-07,천안시 동남구,외지인방문자(b),94493.0
2022-01-07,천안시 동남구,전체방문자(a+b+c),220968.0
2022-01-07,천안시 동남구,현지인방문자(a),126399.0
2022-01-07,천안시 서북구,외국인방문자(c),249.0
2022-01-07,천안시 서북구,외부방문자(b+c),86874.0
2022-01-07,천안시 서북구,외지인방문자(b),86625.0
2022-01-07,천안시 서북구,전체방문자(a+b+c),218068.0
2022-01-07,천안시 서북구,현지인방문자(a),131194.0
2022-01-08,천안시 동남구,외국인방문자(c),72.0
2022-01-08,천안시 동남구,외부방문자(b+c),121025.0
2022-01-08,천안시 동남구,외지인방문자(b),120953.0
2022-01-08,천안시 동남구,전체방문자(a+b+c),238163.0
2022-01-08,천안시 동남구,현지인방문자(a),117138.0
2022-01-08,천안시 서북구,외국인방문자(c),242.0
2022-01-08,천안시 서북구,외부방문자(b+c),108203.0
2022-01-08,천안시 서북구,외지인방문자(b),107961.0
2022-01-08,천안시 서북구,전체방문자(a+b+c),229023.0
2022-01-08,천안시 서북구,현지인방문자(a),120820.0
2022-01-09,천안시 동남구,외국인방문자(c),62.0
2022-01-09,천안시 동남구,외부방문자(b+c),104457.0
2022-01-09,천안시 동남구,외지인방문자(b),104394.0
2022-01-09,천안시 동남구,전체방문자(a+b+c),214381.0
2022-01-09,천안시 동남구,현지인방문자(a),109924.0
2022-01-09,천안시 서북구,외국인방문자(c),220.0
2022-01-09,천안시 서북구,외부방문자(b+c),82397.0
2022-01-09,천안시 서북구,외지인방문자(b),82176.0
2022-01-09,천안시 서북구,전체방문자(a+b+c),194820.0
2022-01-09,천안시 서북구,현지인방문자(a),112424.0
2022-01-10,천안시 동남구,외국인방문자(c),73.0
2022-01-10,천안시 동남구,외부방문자(b+c),85889.0
2022-01-10,천안시 동남구,외지인방문자(b),85816.0
