축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
천안흥타령춤축제,천안삼거리공원,2010-10-05,2010-10-10,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 208,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2011-09-28,2011-10-03,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 209,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2012-10-02,2012-10-07,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 210,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2013-10-01,2013-10-06,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 211,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2014-09-30,2014-10-05,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 212,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2015-10-07,2015-10-11,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 213,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2016-09-28,2016-10-02,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 214,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2017-09-13,2017-09-17,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 215,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2018-09-12,2018-09-16,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 216,,36.8190982,127.1132992,
천안흥타령춤축제,천안삼거리공원,2019-09-25,2019-09-29,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,충청남도 천안시 서북구 번영로 217,,36.8190982,127.1132992,
